session_id,label,project_key_id,date,start_time,end_time,llm_calls,calls_completed,calls_errored,error_rate_pct,duration_s,baseline_req_kb,peak_req_kb,avg_req_kb,total_req_kb,total_resp_kb,req_growth_kb,req_growth_pct,avg_resp_kb,req_resp_ratio,avg_latency_ms,p95_latency_ms,max_latency_ms,first_user_msg,cache_system_cached_chars,cache_system_uncached_chars,cache_tools_chars,cache_messages_cached_chars,cache_messages_uncached_chars,cache_total_chars,cache_turns_parsed,v1_cached_chars,v1_uncached_chars,v1_cached_pct,v1_uncached_pct,v2_cached_chars,v2_uncached_chars,v2_cached_pct,v2_uncached_pct
S01,small_talk,key_005,2026-03-17,19:02:22,19:03:42,7,7,0,0.0,80.0,82.3,90.2,86.7,606.7,124.4,7.9,9.6,17.8,4.9,8598,25813,25813,,106218,560,471975,1413,23744,620694,7,107631,496279,17.3,80.0,579606,24304,93.4,3.9
S02,factual_qa,key_007,2026-03-17,19:05:45,19:07:14,8,8,0,0.0,89.4,82.4,104.8,92.0,736.1,303.2,22.5,27.3,37.9,2.4,18145,30925,30925,what's the difference between process.nextTick and setImmediate in Node.js,121392,640,539400,12795,50563,752221,8,134187,590603,17.8,78.5,673587,51203,89.5,6.8
S03,single_file_read,key_003,2026-03-17,19:08:52,19:10:17,7,7,0,0.0,85.5,82.4,105.5,94.8,663.7,197.6,23.1,28.1,28.2,3.4,12649,24968,24968,read scripts/token_counter.py and tell me what it does,106218,560,471975,10872,64313,677490,7,117090,536848,17.3,79.2,589065,64873,86.9,9.6
S04,bug_hunt,key_001,2026-03-17,19:16:15,19:20:57,29,29,0,0.0,282.3,82.4,148.9,124.1,3598.3,544.4,66.6,80.8,18.8,6.6,7263,17653,18622,find all the bugs across every file in the scripts folder,440046,2320,1955325,18500,1014067,3663338,29,458546,2971712,12.5,81.1,2413871,1016387,65.9,27.7
S05,feature_add,key_009,2026-03-17,19:23:06,19:25:41,23,23,0,0.0,155.3,82.8,132.1,110.7,2546.1,430.9,49.4,59.7,18.7,5.9,7002,13800,17810,add a new script called scripts/visualize.py that reads analysis/turns.csv and prints a text-based bar chart of overhead,356109,1840,1550775,16099,513204,2559003,23,372208,2065819,14.5,80.7,1922983,515044,75.1,20.1
S06,large_input_analysis,key_010,2026-03-17,19:26:38,19:28:56,14,14,0,0.0,137.2,82.7,107.8,94.3,1320.3,362.1,25.1,30.3,25.9,3.6,11272,20439,20439,"here's a raw API payload, analyze its token composition: [paste the full S10 turn 8 gateway_payload block from all_sessi",216860,1120,943950,11004,129459,1349833,14,227864,1074529,16.9,79.6,1171814,130579,86.8,9.7
S07,refactor,key_008,2026-03-17,19:30:14,19:35:06,34,34,0,0.0,292.0,82.7,196.7,146.0,4963.4,779.9,113.9,137.7,22.9,6.4,7366,15731,26305,"the three scripts in scripts/ have duplicated token counting logic, consolidate it into a shared utils.py that all three",526660,2720,2292450,32108,1879572,5022273,34,558768,4174742,11.1,83.1,2851218,1882292,56.8,37.5
S08,git_workflow,key_002,2026-03-17,19:36:05,19:38:41,23,23,0,0.0,156.0,82.6,105.2,94.8,2180.9,295.7,22.6,27.4,12.9,7.4,6200,14764,18223,what's the current git status of this project,354269,1840,1550775,7414,187759,2231781,23,361683,1740374,16.2,78.0,1912458,189599,85.7,8.5
S09,mixed_social_code,key_006,2026-03-17,19:39:30,19:43:53,39,39,0,0.0,263.1,82.7,173.2,126.1,4917.9,655.6,90.5,109.4,16.8,7.5,6187,19463,20308,hey quick question — do you think LLMs will ever be able to accurately count their own token usage in real time,603408,3120,2629575,43777,1358581,5016553,39,647185,3991276,12.9,79.6,3276760,1361701,65.3,27.1
S10,open_source_prep,key_004,2026-03-17,19:44:21,19:53:53,39,39,0,0.0,572.0,82.8,158.5,129.2,5038.5,871.8,75.6,91.3,22.4,5.8,10189,30859,31093,look at everything in this project and tell me what's missing for it to be a proper open source repo that people can act,608425,3120,2629575,30015,1582440,5137885,39,638440,4215135,12.4,82.0,3268015,1585560,63.6,30.9
